Auto Posto Mais 45,GO,CENTRO OESTE,2000000,SIM,49,CONHECIMENTO,NÃO,NÃO REALIZADO,6
Auto Posto Fi,PR,SUL,3004395,SIM,49,EXECUÇÃO,SIM,REALIZADO,13
Auto Posto Terça-feira,SP,SÃO PAULO,1700000,SIM,49,CONHECIMENTO,SIM,NÃO REALIZADO,13
Rede Abastecedora Número 99,SP,SÃO PAULO,2224161,SIM,49,CONHECIMENTO,NÃO,NÃO REALIZADO,12
Rede Abastecedora Número 93,SP,SÃO PAULO,1580000,SIM,49,EXECUÇÃO,SIM,NÃO REALIZADO,13
Auto Posto Nº 5,SP,SÃO PAULO,1500000,SIM,47,EXECUÇÃO,SIM,NÃO REALIZADO,13
Auto Posto Nº 50,SC,SUL,861645,SIM,47,EXECUÇÃO,SIM,REALIZADO,13
Auto Posto Nº 63,SP,SÃO PAULO,200000,NÃO,47,EXECUÇÃO,NÃO,NÃO REALIZADO,13
Rede Abastecedora Número 101,PA,NORTE,1750000,SIM,47,EXECUÇÃO,SIM,REALIZADO,8
Auto Posto Nº 10,GO,CENTRO OESTE,1350000,SIM,47,EXECUÇÃO,SIM,REALIZADO,12
Rede Abastecedora Número 127,SP,SÃO PAULO,1172863,SIM,47,EXECUÇÃO,SIM,REALIZADO,13
Auto Posto Nº 25,PR,SUL,900000,SIM,47,EXECUÇÃO,NÃO,NÃO REALIZADO,12
Auto Posto Nº 62,SP,SÃO PAULO,448322,NÃO,47,CONHECIMENTO,NÃO,NÃO REALIZADO,12
Rede Abastecedora Número 110,SP,SÃO PAULO,400000,NÃO,47,CONHECIMENTO,SIM,REALIZADO,12
Rede Abastecedora Número 113,MA,NORTE,308000,NÃO,47,CONHECIMENTO,NÃO,NÃO REALIZADO,12
Auto Posto Nº 106,SP,SÃO PAULO,227557,SIM,47,EXECUÇÃO,SIM,REALIZADO,12
Auto Posto Nº 120,SP,SÃO PAULO,203628,SIM,47,CONHECIMENTO,SIM,REALIZADO,12
Auto Posto Nº 121,BA,NORDESTE,200000,SIM,47,EXECUÇÃO,SIM,REALIZADO,13
Auto Posto Sigma,BA,NORDESTE,3804973,SIM,47,EXECUÇÃO,SIM,REALIZADO,6
Rede Abastecedora Número 96,SP,SÃO PAULO,2800000,SIM,47,CONHECIMENTO,NÃO,NÃO REALIZADO,12
Rede Abastecedora Número 83,MG,SUDESTE,1500000,SIM,47,CONHECIMENTO,SIM,REALIZADO,12
Auto Posto Nº 11,RJ,SUDESTE,1338812,SIM,47,EXECUÇÃO,SIM,REALIZADO,13
Auto Posto Nº 17,BA,NORDESTE,1208494,SIM,47,EXECUÇÃO,NÃO,NÃO REALIZADO,11
Auto Posto Nº 76,BA,NORDESTE,1000000,SIM,47,EXECUÇÃO,NÃO,REALIZADO,13
Rede Abastecedora Número 139,SP,SÃO PAULO,750000,SIM,47,EXECUÇÃO,SIM,REALIZADO,12
Auto Posto Nº 107,SC,SUL,222764,SIM,47,EXECUÇÃO,SIM,REALIZADO,13
Auto Posto Mais 70,SP,SÃO PAULO,218521,SIM,47,EXECUÇÃO,SIM,REALIZADO,12
Auto Posto Nº 123,AL,NORDESTE,207000,SIM,47,CONHECIMENTO,SIM,REALIZADO,12
Auto Posto Capa,SP,SÃO PAULO,4000000,SIM,47,EXECUÇÃO,SIM,REALIZADO,10
Auto Posto Mais 64,RJ,SUDESTE,2916000,SIM,47,EXECUÇÃO,SIM,REALIZADO,10
Rede Abastecedora Número 98,PR,SUL,2300000,SIM,47,EXECUÇÃO,SIM,REALIZADO,10
Auto Posto Nº 19,MS,CENTRO OESTE,1500000,SIM,47,CONHECIMENTO,SIM,REALIZADO,12
Auto Posto Nº 16,MT,CENTRO OESTE,1236139,SIM,47,EXECUÇÃO,SIM,REALIZADO,13
Auto Posto Nº 24,MG,SUDESTE,912782,SIM,46,EXECUÇÃO,NÃO,REALIZADO,13
Rede Abastecedora Número 105,SP,SÃO PAULO,860000,SIM,46,EXECUÇÃO,NÃO,NÃO REALIZADO,12
Auto Posto Segunda-Feira,SP,SÃO PAULO,750000,SIM,46,EXECUÇÃO,SIM,REALIZADO,12
Auto Posto Mais 95,ES,SUDESTE,145283,NÃO,45,CONHECIMENTO,NÃO,NÃO REALIZADO,10
Rede Abastecedora Número 124,SP,SÃO PAULO,4123417,SIM,45,EXECUÇÃO,SIM,REALIZADO,8
Rede Abastecedora Número 97,PR,SUL,2700000,SIM,45,EXECUÇÃO,SIM,REALIZADO,13
Rede de Postos Segunda,SC,SUL,1616675,SIM,45,EXECUÇÃO,SIM,REALIZADO,4
Rede Abastecedora Número 91,RJ,SUDESTE,1560000,SIM,45,EXECUÇÃO,SIM,REALIZADO,11
Auto Posto Mais 17,SP,SÃO PAULO,1377720,SIM,45,EXECUÇÃO,SIM,REALIZADO,12
Auto Posto Mais 3,SP,SÃO PAULO,895429,SIM,45,EXECUÇÃO,NÃO,NÃO REALIZADO,10
Auto Posto Mais 96,PR,SUL,870000,SIM,45,EXECUÇÃO,SIM,REALIZADO,12
Auto Posto Nº 32,MG,SUDESTE,858206,SIM,45,EXECUÇÃO,NÃO,REALIZADO,10
Auto Posto Nº 49,GO,CENTRO OESTE,592117,SIM,45,EXECUÇÃO,SIM,REALIZADO,12
Auto Posto Nº 109,RS,SUL,400000,NÃO,45,CONHECIMENTO,SIM,REALIZADO,12
Rede Abastecedora Número 72,SP,SÃO PAULO,400000,NÃO,45,CONHECIMENTO,SIM,REALIZADO,11
Auto Posto Nº 74,SP,SÃO PAULO,393188,SIM,45,CONHECIMENTO,NÃO,REALIZADO,10
Auto Posto Nº 75,RS,SUL,389941,NÃO,45,CONHECIMENTO,NÃO,NÃO REALIZADO,12
Auto Posto Mais 4,SP,SÃO PAULO,316119,SIM,45,CONHECIMENTO,SIM,NÃO REALIZADO,13
